"","INVENTORY_ID","PLOT_ID","TREE_ID","specie","dbh_1","dbh_2","dbh","height","expan","basal_area"
"99745","IFN2","8_1811_IFN2","8_1811_1_IFN2",25,104,102,10.3,4.5,127.323954473516,83.3228911548353
"99746","IFN2","8_1811_IFN2","8_1811_2_IFN2",25,130,127,12.85,6.5,31.8309886183791,129.686908235595
"99747","IFN2","8_1811_IFN2","8_1811_3_IFN2",25,133,134,13.35,6,31.8309886183791,139.975624176102
"99748","IFN2","8_1811_IFN2","8_1811_4_IFN2",25,90,94,9.2,4.5,127.323954473516,66.47610054996
"99749","IFN2","8_1811_IFN2","8_1811_5_IFN2",25,145,141,14.3,8,31.8309886183791,160.606070433144
"99750","IFN2","8_1811_IFN2","8_1811_6_IFN2",25,134,144,13.9,7,31.8309886183791,151.746779150021
"99751","IFN2","8_1811_IFN2","8_1811_7_IFN2",25,125,127,12.6,8,31.8309886183791,124.689812420979
"99752","IFN2","8_1811_IFN2","8_1811_8_IFN2",25,132,141,13.65,8,31.8309886183791,146.337349299621
"99753","IFN2","8_1811_IFN2","8_1811_9_IFN2",25,140,144,14.2,8,31.8309886183791,158.367685667461
"99754","IFN2","8_1811_IFN2","8_1811_10_IFN2",25,130,130,13,7.5,31.8309886183791,132.732289614169
"99755","IFN2","8_1811_IFN2","8_1811_11_IFN2",24,110,100,10.5,3.5,127.323954473516,86.5901475145687
"334608","IFN2","17_2662_IFN2","17_2662_1_IFN2",25,169,165,16.7,8,31.8309886183791,219.039693789914
"334609","IFN2","17_2662_IFN2","17_2662_2_IFN2",25,155,160,15.75,7.5,31.8309886183791,194.82783190778
"334610","IFN2","17_2662_IFN2","17_2662_3_IFN2",25,117,112,11.45,7.5,127.323954473516,102.967662716814
"334611","IFN2","17_2662_IFN2","17_2662_4_IFN2",25,126,128,12.7,6.5,31.8309886183791,126.676869774374
"334612","IFN2","17_2662_IFN2","17_2662_5_IFN2",23,289,278,28.35,9.5,14.1471060526129,631.242175381206
"334613","IFN2","17_2662_IFN2","17_2662_6_IFN2",25,82,80,8.1,5,127.323954473516,51.5299735005066
"334614","IFN2","17_2662_IFN2","17_2662_7_IFN2",25,126,127,12.65,5.5,31.8309886183791,125.681377602268
"334615","IFN2","17_2662_IFN2","17_2662_8_IFN2",23,244,246,24.5,9,14.1471060526129,471.435247579318
"334616","IFN2","17_2662_IFN2","17_2662_9_IFN2",25,165,161,16.3,9.5,31.8309886183791,208.672438033068
"334617","IFN2","17_2662_IFN2","17_2662_10_IFN2",25,134,138,13.6,7.5,31.8309886183791,145.267244301992
"334618","IFN2","17_2662_IFN2","17_2662_11_IFN2",23,201,203,20.2,7,31.8309886183791,320.473866592695
"334619","IFN2","17_2662_IFN2","17_2662_12_IFN2",23,256,257,25.65,9,14.1471060526129,516.731123157858
"334620","IFN2","17_2662_IFN2","17_2662_13_IFN2",25,128,123,12.55,7.5,31.8309886183791,123.702174230507
"334621","IFN2","17_2662_IFN2","17_2662_14_IFN2",23,214,223,21.85,8,31.8309886183791,374.966754664618
"334622","IFN2","17_2662_IFN2","17_2662_15_IFN2",25,185,188,18.65,10.5,31.8309886183791,273.179152688309
"334623","IFN2","17_2662_IFN2","17_2662_16_IFN2",25,133,134,13.35,10.5,31.8309886183791,139.975624176102
"334624","IFN2","17_2662_IFN2","17_2662_17_IFN2",23,244,241,24.25,9.5,14.1471060526129,461.863207462912
"334625","IFN2","17_2662_IFN2","17_2662_18_IFN2",25,215,217,21.6,10.5,31.8309886183791,366.435367114714
"334626","IFN2","17_2662_IFN2","17_2662_19_IFN2",25,169,171,17,9,31.8309886183791,226.980069221863
"334627","IFN2","17_2662_IFN2","17_2662_20_IFN2",25,211,207,20.9,9,31.8309886183791,343.069771753639
"334628","IFN2","17_2662_IFN2","17_2662_21_IFN2",25,162,158,16,8.5,31.8309886183791,201.061929829747
"334629","IFN2","17_2662_IFN2","17_2662_22_IFN2",25,104,107,10.55,8,127.323954473516,87.4167790815445
"334630","IFN2","17_2662_IFN2","17_2662_23_IFN2",25,129,130,12.95,9,31.8309886183791,131.713235497161
"334631","IFN2","17_2662_IFN2","17_2662_24_IFN2",25,187,189,18.8,10,31.8309886183791,277.591126871194
"334632","IFN2","17_2662_IFN2","17_2662_25_IFN2",25,147,148,14.75,9,31.8309886183791,170.873187924157
"487800","IFN2","25_1263_IFN2","25_1263_1_IFN2",25,395,423,40.9,7.5,14.1471060526129,1313.82190171289
"487801","IFN2","25_1263_IFN2","25_1263_2_IFN2",21,159,164,16.15,6.5,31.8309886183791,204.849512472731
"487802","IFN2","25_1263_IFN2","25_1263_3_IFN2",21,120,110,11.5,7,127.323954473516,103.868907109313
"487803","IFN2","25_1263_IFN2","25_1263_4_IFN2",21,189,179,18.4,7.5,31.8309886183791,265.90440219984
"487804","IFN2","25_1263_IFN2","25_1263_5_IFN2",21,141,134,13.75,9.5,31.8309886183791,148.48934026733
"487805","IFN2","25_1263_IFN2","25_1263_6_IFN2",21,262,247,25.45,10.5,14.1471060526129,508.704353927936
"487806","IFN2","25_1263_IFN2","25_1263_7_IFN2",21,177,141,15.9,7.5,31.8309886183791,198.556509688509
"487807","IFN2","25_1263_IFN2","25_1263_8_IFN2",25,230,229,22.95,7.5,14.1471060526129,413.671176156844
"487808","IFN2","25_1263_IFN2","25_1263_9_IFN2",25,383,362,37.25,11,14.1471060526129,1089.78903909917
"487809","IFN2","25_1263_IFN2","25_1263_10_IFN2",21,128,131,12.95,7,31.8309886183791,131.713235497161
"487810","IFN2","25_1263_IFN2","25_1263_11_IFN2",25,374,386,38,10,14.1471060526129,1134.11494794592
"487811","IFN2","25_1263_IFN2","25_1263_12_IFN2",25,103,95,9.9,4.5,127.323954473516,76.9768739945839
"487812","IFN2","25_1263_IFN2","25_1263_13_IFN2",21,141,137,13.9,6,31.8309886183791,151.746779150021
"487813","IFN2","25_1263_IFN2","25_1263_14_IFN2",45,102,109,10.55,5,127.323954473516,87.4167790815445
"487814","IFN2","25_1263_IFN2","25_1263_15_IFN2",25,113,129,12.1,4.5,127.323954473516,114.99014510302
"487815","IFN2","25_1263_IFN2","25_1263_16_IFN2",21,111,117,11.4,1.6,127.323954473516,102.070345315132
"487816","IFN2","25_1263_IFN2","25_1263_17_IFN2",25,115,125,12,5,127.323954473516,113.097335529233
"487817","IFN2","25_1263_IFN2","25_1263_18_IFN2",45,81,79,8,4,127.323954473516,50.2654824574367
"487818","IFN2","25_1263_IFN2","25_1263_19_IFN2",21,149,148,14.85,7,31.8309886183791,173.197966487814
"487819","IFN2","25_1263_IFN2","25_1263_20_IFN2",21,160,148,15.4,8,31.8309886183791,186.265028431339
"487820","IFN2","25_1263_IFN2","25_1263_21_IFN2",45,102,107,10.45,4.5,127.323954473516,85.7674429384098
"487821","IFN2","25_1263_IFN2","25_1263_22_IFN2",21,113,110,11.15,5.5,127.323954473516,97.6426631689793
"487822","IFN2","25_1263_IFN2","25_1263_23_IFN2",25,247,266,25.65,7,14.1471060526129,516.731123157858
"487823","IFN2","25_1263_IFN2","25_1263_24_IFN2",21,144,150,14.7,7.5,31.8309886183791,169.716689128555
"487824","IFN2","25_1263_IFN2","25_1263_25_IFN2",25,261,278,26.95,9.5,14.1471060526129,570.436649570975
"487825","IFN2","25_1263_IFN2","25_1263_26_IFN2",21,201,204,20.25,7,31.8309886183791,322.062334378166
"487981","IFN2","25_1279_IFN2","25_1279_1_IFN2",25,150,160,15.5,9,31.8309886183791,188.691908756237
"487982","IFN2","25_1279_IFN2","25_1279_2_IFN2",21,136,133,13.45,7,31.8309886183791,142.080491254007
